TransactionID,TransactionAmt,ProductCD,card4,card6,fraud_probability,risk_tier,action
3756730,150.0,R,discover,credit,0.9998380180355066,High,Decline / block
4138550,375.0,R,mastercard,debit,0.9997775810925834,High,Decline / block
3756729,150.0,R,discover,credit,0.9997587006406392,High,Decline / block
3779432,250.0,R,discover,credit,0.9997195080815259,High,Decline / block
3814787,175.0,R,visa,credit,0.9997150894913592,High,Decline / block
3919942,150.0,H,visa,credit,0.9996649941138912,High,Decline / block
3739395,250.0,R,american express,credit,0.9996102272143721,High,Decline / block
3793491,225.0,R,american express,credit,0.9995872851763399,High,Decline / block
3919936,150.0,H,visa,credit,0.9995739248565222,High,Decline / block
3731794,70.702,C,visa,credit,0.99956158790674,High,Decline / block
3774641,250.0,R,visa,credit,0.9994949417410119,High,Decline / block
3769146,200.0,R,visa,credit,0.9994149123779338,High,Decline / block
3845674,100.0,S,visa,debit,0.9993933768417412,High,Decline / block
3862708,52.811,C,visa,credit,0.9993804530217723,High,Decline / block
3782394,300.0,R,visa,credit,0.9993475421417729,High,Decline / block
3745468,275.0,R,visa,debit,0.999332002691442,High,Decline / block
3803734,300.0,R,american express,credit,0.9993317015712857,High,Decline / block
3774072,175.0,R,visa,credit,0.999324075124694,High,Decline / block
3845583,300.0,S,discover,credit,0.9993177067271566,High,Decline / block
3724135,450.0,R,visa,debit,0.9993104723748828,High,Decline / block
3676480,300.0,R,visa,debit,0.9993087707579358,High,Decline / block
3830548,200.0,R,visa,credit,0.9992628030600982,High,Decline / block
3845382,18.444,C,visa,debit,0.9992296805491416,High,Decline / block
3734098,300.0,R,mastercard,credit,0.9991993130068523,High,Decline / block
3734095,300.0,R,mastercard,credit,0.9991960679434472,High,Decline / block
3784627,225.0,R,mastercard,credit,0.9991835202438659,High,Decline / block
4117372,300.0,R,visa,debit,0.9991831029516172,High,Decline / block
3845380,18.444,C,visa,debit,0.9991346698836203,High,Decline / block
4138532,375.0,R,mastercard,debit,0.9991286926172276,High,Decline / block
3848070,14.386,C,visa,credit,0.9991277701364697,High,Decline / block
3730453,350.0,R,visa,debit,0.9991081432014686,High,Decline / block
3774628,250.0,R,visa,credit,0.9990898590992203,High,Decline / block
3974293,80.416,C,visa,debit,0.9990855871956041,High,Decline / block
3826569,8.607,C,mastercard,credit,0.9990849647228083,High,Decline / block
3848075,14.386,C,mastercard,credit,0.9990576456277744,High,Decline / block
3739193,14.386,C,visa,credit,0.9990297320154353,High,Decline / block
3723941,450.0,R,visa,credit,0.9990266389003171,High,Decline / block
3769149,150.0,R,visa,debit,0.9990255986608941,High,Decline / block
4156165,50.0,H,mastercard,credit,0.9989807992667462,High,Decline / block
4030787,150.0,H,mastercard,debit,0.998959659854746,High,Decline / block
4095427,150.0,R,visa,credit,0.9989526674413297,High,Decline / block
3974209,80.416,C,visa,credit,0.9989316298899068,High,Decline / block
3848078,14.386,C,mastercard,credit,0.9989304454873108,High,Decline / block
3974174,80.416,C,mastercard,debit,0.9989302488666213,High,Decline / block
3824315,46.11,C,visa,credit,0.9989121621597753,High,Decline / block
3862671,52.811,C,visa,credit,0.9989007694384358,High,Decline / block
3779443,250.0,R,visa,credit,0.9989004898231155,High,Decline / block
3767219,300.0,R,mastercard,credit,0.9988764732772402,High,Decline / block
4019344,300.0,R,mastercard,credit,0.9988529450729213,High,Decline / block
3862683,52.811,C,mastercard,credit,0.9988384713963078,High,Decline / block
3739662,20.104,C,visa,credit,0.9988156279670085,High,Decline / block
3848080,14.386,C,visa,credit,0.9987768627969292,High,Decline / block
3862687,52.811,C,visa,credit,0.9987676318016506,High,Decline / block
3862704,52.811,C,visa,debit,0.998760489263846,High,Decline / block
3862700,52.811,C,visa,credit,0.9987604483592288,High,Decline / block
4117410,300.0,R,visa,credit,0.998760077985003,High,Decline / block
3721854,450.0,R,mastercard,credit,0.9987487408367749,High,Decline / block
4001014,350.0,R,mastercard,credit,0.9987423630363189,High,Decline / block
4033748,150.0,H,american express,credit,0.9987336696593033,High,Decline / block
3974211,80.416,C,visa,credit,0.9987321861218578,High,Decline / block
3782029,200.0,R,visa,credit,0.9987204180559024,High,Decline / block
3845368,18.444,C,visa,debit,0.9987151629486138,High,Decline / block
3862711,52.811,C,mastercard,credit,0.9987127033957248,High,Decline / block
4156160,50.0,H,visa,debit,0.9987105338058929,High,Decline / block
4095438,150.0,R,visa,credit,0.9987024427961423,High,Decline / block
3939312,37.995,C,visa,credit,0.9986909170401642,High,Decline / block
3966201,18.444,C,mastercard,credit,0.9986886513411323,High,Decline / block
3928914,204.728,C,visa,credit,0.9986861765142984,High,Decline / block
3693345,200.0,R,visa,debit,0.9986841030271348,High,Decline / block
3731791,70.702,C,mastercard,credit,0.9986796258928777,High,Decline / block
3729066,350.0,R,mastercard,credit,0.9986738088183164,High,Decline / block
3974294,80.416,C,visa,debit,0.9986646524638602,High,Decline / block
3862673,52.811,C,visa,credit,0.9986570579625094,High,Decline / block
3739660,20.104,C,visa,credit,0.9986546138991972,High,Decline / block
4156250,100.0,S,visa,credit,0.9986502286847666,High,Decline / block
3735175,100.0,H,mastercard,credit,0.9986472386022569,High,Decline / block
3974245,80.416,C,mastercard,credit,0.9986413487469475,High,Decline / block
3710763,191.08,C,visa,credit,0.998636800575933,High,Decline / block
3755979,9.529,C,visa,credit,0.9986349833193471,High,Decline / block
3974216,80.416,C,mastercard,credit,0.9986138558953053,High,Decline / block
3974261,80.416,C,mastercard,credit,0.998599623917929,High,Decline / block
3862688,52.811,C,mastercard,debit,0.9985556110250666,High,Decline / block
3730428,350.0,R,visa,debit,0.9985353603453528,High,Decline / block
4001010,350.0,R,american express,credit,0.9985202608197327,High,Decline / block
3974266,80.416,C,visa,credit,0.9985169623275655,High,Decline / block
3840658,10.575,C,visa,credit,0.9985139566380389,High,Decline / block
3823356,500.0,R,visa,credit,0.9985132575221843,High,Decline / block
3974197,80.416,C,visa,credit,0.9984998528951031,High,Decline / block
3862701,52.811,C,visa,credit,0.9984941140775873,High,Decline / block
3846636,50.0,H,mastercard,credit,0.9984813238817482,High,Decline / block
4117362,300.0,R,visa,debit,0.9984696543219231,High,Decline / block
3862681,52.811,C,mastercard,debit,0.998463803598301,High,Decline / block
3974264,80.416,C,mastercard,credit,0.9984569823075671,High,Decline / block
3974171,80.416,C,mastercard,debit,0.9984542300618724,High,Decline / block
3974187,80.416,C,mastercard,credit,0.9984268153440343,High,Decline / block
3862705,52.811,C,mastercard,debit,0.9984124995399024,High,Decline / block
3895809,44.389,C,visa,credit,0.9983920988731434,High,Decline / block
3862678,52.811,C,mastercard,debit,0.9983865830541527,High,Decline / block
3862712,52.811,C,mastercard,credit,0.998379129519094,High,Decline / block
3857722,250.0,H,visa,debit,0.9983764551019428,High,Decline / block
3862715,52.811,C,visa,credit,0.9983744946809513,High,Decline / block
3974228,80.416,C,mastercard,credit,0.9983608892484642,High,Decline / block
3974182,80.416,C,mastercard,credit,0.9983606684289332,High,Decline / block
3730317,50.0,H,visa,credit,0.9983403335440351,High,Decline / block
3998398,13.034,C,visa,debit,0.9983318186363829,High,Decline / block
3974284,80.416,C,mastercard,credit,0.9983302134479332,High,Decline / block
3737294,20.411,C,mastercard,debit,0.9983241270047251,High,Decline / block
3974250,80.416,C,mastercard,credit,0.998321355195962,High,Decline / block
3859895,23.239,C,mastercard,credit,0.9983157191150767,High,Decline / block
3970439,70.702,C,visa,credit,0.9983134099995433,High,Decline / block
3767190,16.6,C,mastercard,credit,0.9983097139093747,High,Decline / block
3804072,200.0,R,american express,credit,0.9982973478009985,High,Decline / block
4156259,100.0,S,visa,credit,0.9982917856201816,High,Decline / block
4147444,200.0,R,visa,debit,0.9982817549525377,High,Decline / block
4117460,300.0,R,visa,debit,0.9982725179968491,High,Decline / block
3862689,52.811,C,visa,credit,0.9982652698631489,High,Decline / block
3862651,52.811,C,visa,credit,0.9982611519232238,High,Decline / block
3783305,9.529,C,mastercard,credit,0.9982563024681886,High,Decline / block
4088535,150.0,R,mastercard,debit,0.998255850712009,High,Decline / block
3974164,80.416,C,visa,credit,0.9982429746821522,High,Decline / block
3979519,350.0,R,visa,debit,0.9982374791258009,High,Decline / block
3862670,52.811,C,visa,credit,0.9982373631259315,High,Decline / block
3775033,150.0,H,mastercard,credit,0.9982290707764171,High,Decline / block
3966204,18.444,C,mastercard,credit,0.9982249586066929,High,Decline / block
4069021,275.0,R,visa,credit,0.9982199776304193,High,Decline / block
3737293,20.411,C,mastercard,debit,0.9982092796609935,High,Decline / block
3895799,44.389,C,mastercard,credit,0.9982028795933471,High,Decline / block
3730315,50.0,H,visa,debit,0.9981965624396338,High,Decline / block
3862693,52.811,C,mastercard,debit,0.9981934141132128,High,Decline / block
3908091,13.895,C,mastercard,credit,0.9981798438974415,High,Decline / block
3720866,325.0,R,visa,credit,0.9981783115194767,High,Decline / block
3761175,31.355,C,visa,credit,0.9981687989521786,High,Decline / block
3974221,80.416,C,mastercard,credit,0.9981654285626544,High,Decline / block
3739632,20.104,C,mastercard,debit,0.9981589708931108,High,Decline / block
3862716,52.811,C,mastercard,credit,0.998155953095068,High,Decline / block
4117342,300.0,R,visa,debit,0.998146806871684,High,Decline / block
3974235,80.416,C,mastercard,credit,0.9981459724677062,High,Decline / block
4117452,300.0,R,visa,debit,0.9981237406367139,High,Decline / block
3862702,52.811,C,mastercard,credit,0.9981233904511524,High,Decline / block
3698416,80.17,C,mastercard,credit,0.9981205230910624,High,Decline / block
3739671,20.104,C,visa,credit,0.9981198274033525,High,Decline / block
3734096,350.0,R,visa,credit,0.9980995259894697,High,Decline / block
3736051,68.12,C,mastercard,debit,0.9980841966612466,High,Decline / block
3706514,152.347,C,visa,credit,0.9980791384976572,High,Decline / block
3706443,152.347,C,mastercard,credit,0.9980719720660283,High,Decline / block
3797145,9.099,C,mastercard,credit,0.99807027191958,High,Decline / block
3974146,80.416,C,visa,credit,0.9980587902312887,High,Decline / block
3706520,152.347,C,visa,credit,0.9980553187767924,High,Decline / block
3873929,25.207,C,visa,credit,0.998054556218151,High,Decline / block
3735656,141.404,C,visa,credit,0.9980519944568087,High,Decline / block
3862698,52.811,C,mastercard,credit,0.998051155058716,High,Decline / block
3739634,20.104,C,visa,debit,0.9980461681832474,High,Decline / block
3970467,70.702,C,mastercard,credit,0.9980404022906143,High,Decline / block
3783409,9.529,C,visa,credit,0.9980295534231749,High,Decline / block
3698747,80.17,C,visa,credit,0.9980265675347451,High,Decline / block
3837633,300.0,R,visa,debit,0.9980167224185295,High,Decline / block
4090931,250.0,R,visa,credit,0.9979992369611321,High,Decline / block
3969842,70.395,C,mastercard,credit,0.9979990706680683,High,Decline / block
4156239,100.0,S,visa,debit,0.9979843279504217,High,Decline / block
3706389,174.111,C,visa,credit,0.9979822288291578,High,Decline / block
3933723,150.0,R,visa,debit,0.9979795447985843,High,Decline / block
3908090,13.895,C,mastercard,credit,0.9979676244124704,High,Decline / block
3783417,9.529,C,mastercard,credit,0.9979563099961619,High,Decline / block
3778835,225.0,R,visa,credit,0.9979534763945088,High,Decline / block
3970448,70.702,C,mastercard,credit,0.9979493037165748,High,Decline / block
3933727,150.0,R,visa,debit,0.9979326501812951,High,Decline / block
